text,aspectTerms
"Defective product and after speaking to multiple Amazon employees each saying varying things the only way for me to be able to return this is for ME to pay for it to be returned…yeah they want me to pay to return a defective product. So in the end I wouldn’t only be out the humidifier I wanted I’d be out the cost of the humidifier and the cost of sending it back so I wouldn’t even get the money I spent originally back in full. I’ve never paid return fees before, especially not for a defective product. Amazon has gone increasingly down hill very fast this last year and I honestly am done with Amazon at this point which is quite disappointing considering I’m disabled and Amazon was my main source of products for myself, my family and pets.",
"These are great, especially when cooking items that overflow the pot , like soup. When a spill occurs, you simply put the burner in the sink to soak. Minimal mess left on stove. After it soaks and you wash off the grime, simply place it back on stove burner. The items are thin, so do not clean completely and evertualy need to be thrown out due to wear. But they make cleaning the stove much easier and are just pennies  each.",
these work great and were as described and fast shipment. happy,
"Great, just what I was expecting. I've washed them once and they held up very well and they look nice.",
"Arrived quickly, installed and working great..",
If you love pellet ice then this is the unit for you.  I put this in my bar and use it almost every day.  It does put out some heat and is a little loud when it is making ice but I absolutely love it!,
Love it but can’t replace because of company is out of business so I brought different one and good so far,
Family love it and use for cold drinks !!,
These were easy to insert around the drum of our dryer.  They stopped the loud screeching noise that was coming from our dryer since the old ones were away.  They been working great for over a month now!  They were half the price with free prime shipping vs the online parts store!,
Easy to install. Use for a GE refrigerator.,
I am not sure what type of Keurig I have but this works great in it!  It sits up high enough so it does not get punctured like a regular k-cup does.  I would recommend this product.  Works great and easy to clean.  Like that the bottom is screen like the sides.,
"These are ok,  it i prefer the brand name",
"This is small enough to fit in most refrigerators.  It has a small foot print and is not that tall either.  Amazingly does hold 30 eggs.  If you buy and use a lot of eggs, this is ideal.",
Looks like new!!!,
Absolutely adorable!,
"I’m not going to leave one star because of my error. the product does seem durable, it was a great deal and shipped fast. I have the K475 which isn’t stated in the description, however I thought it may work regardless. It didn’t.<br />I’m leaving my review for others with the same machine to know this model won’t work.",
They are a good replacement for the stove.,
"This has been an absolute lifesaver in a very small refrigerator; I am able to store and entire carton of eggs in a small space, and better yet, can stack other items on top of them without worrying about crushing or breaking them. Sturdy plastic construction and super easy to clean with a quick wipe down.",
Fits,
This filter will not work in most percolators. The problem is that the filter is a smaller diameter than the basket and it sticks up too high so that you cannot put the lid back on the basket. The basket lid would also make a lot of the water go outside of the filter instead of into it.,
Helps keep my kitchen clean,
Got the dryer working again!,
"With 2 containers you can store 28 eggs.  These wash easily, but not in the dishwasher.  The bottom is ok, but the top warped.",
"This is great for a stove that has raised burners.  It gives extra counter space when only using two burners on the stove.  Great for small kitchen spaces.  Love the bamboo.  It's lightweight, durable and easy to clean.",
Perfect replacement part for my dryer.,
"I have always been annoyed with the dripping of the refrigerator water dispenser. I am frequently having to clean the white mineral stains. This is a great idea! It doesn't quite fit my refrigerator, but it does cover the area where the drips usually land. The width is nearly perfect. It's just not as deep as the area. There are 4 pads which is more than I need. I think 2 would be enough so I could have one under the water hose and one in the laundry.",
"My elderly father was recently in rehab for a few weeks. While he was there, both pairs of his pajama pants disappeared. He told the staff and a few days later he received 2 new pairs of pajama pants, but they weren't as soft and comfortable as his old, missing ones. Now he's back in his assisted living center and I plan to label all of his clothes. He hasn't had any problems at his place, but it's better to be prepared. These labels are pretty small. The whole package is pretty small and I almost missed it. It came in a box with other items so I didn't notice it at first. I tested it out on a couple of pieces of my own clothing. I used both a regular ball point pen on one and a fine tip Sharpie on the other. I was impressed that neither of them smeared, even after touching the ink right after writing on it. I affixed the stickers to the labels of the clothing items. After being laundered, they looked practically the same. These are great!! Perfect for kids at daycare, camp, and the elderly!",
"This egg storage rack holds a lot of eggs. One rack holds 18 eggs. The spacing of the shelves in my refrigerator only fit one rack, so I am not using both of them right now. I have been putting the older eggs in the front and the newer ones in the back so we're using the older ones first. At first, the eggs weren't rolling forward when one was removed. We discovered that the rack was on the lip/edge of the shelf so we pushed it back a little and then the eggs were able to roll into position as ones were taken out.",
"I am very impressed with this herb keeper. It works really well! It is large, so I had to rearrange some things in my refrigerator to find a spot for it, but it's worth it. I often by fresh herbs and I always end up having to throw them away because they've gone bad. I am very pleased with this gadget!",
"There are times when the ice maker on the refrigerator can't keep up with our ice needs. Usually that's when we're entertaining or going out and taking the cooler somewhere. This counter top ice maker will hopefully make life easier. We set this up and followed the directions. It didn't take long before we started making ice. It is a slow process. It took about 2 hours to fill the ice basket. This isn't something you can just start doing to get a lot of ice right away. However, if you plan in advance, it should be fine. We will start making ice the night before it's needed then bag it up and put it in the freezer. I love that this maker recycles the melted water. That's a great idea! While it is noisy, it's more of a white noise than anything else. We found it to not be distracting. We like the shapes of the ice cubes. My husband thought it would be nice if the front of the maker was see through so you could see how much ice you have without having to peer down into it. Overall, this works well and makes decent ice cubes.",
"These door handle covers are quite festive. It comes with a pair - Santa and Mrs. Clause. They don't fasten tight enough to keep them where I want (the middle of the handles) and instead they fall to the bottom no matter what I do! They still look cute, but it's not exactly what I wanted. The stickers, however, are awesome! I have been putting them on the backs of my Christmas card envelopes.",
"I love having a refrigerator just for beer! We have half size refrigerator for drinks, but that gets full pretty quickly with water bottles, sodas, and juice. Now we can put the beer and malt beverages in this refrigerator and keep the rest of the drinks in the old one. The glass shelves are very sturdy and easy to rearrange. The older half size refrigerator has plastic shelves and when you put a lot of weight on the shelves, it has shown signs of cracking and bowing. Not the case with this refrig. I have filled it with a mix of beer and sparkling tall/slim cans. I might be able to get a couple more cans in there, but I think it's pretty close to capacity. It's easy to adjust the temperature with the digital display. It's doing a great job of keeping our adult beverages nice and cold.",
"Over the years I have developed my own morning time routine and coffee is a part of it. I have GERD so my GI specialist wants me to limit caffeine. I try to keep it at 1 cup every morning. This half-caff allows me to have a second cup! It tastes good, although I do had my flavored sugar free creamer to it, so I'm not drinking it black. The k-cups work well in my Keurig. This box has 100 k-cups, so that should last me a while.",
This small stainless steel frothing jug is an excellent quality. It's sturdy. It's the perfect size for frothing milk for your coffee beverages. It's easy to clean and care for. I am very pleased with it.,
"I am very happy to have found these! My husband and I have an Esperta2 machine. I've been happy with the prefilled pods that are available, but my husband prefers his whole bean coffee. This allows him the convenience of using the Esperta with his own coffee. These work well in our machine. You do have to make sure you line up the little hole correctly when you insert it into the machine. The directions explain how fine or coarse the coffee needs to be for using it. It comes with a spoon and brush. We used to have a Tassimo machine and there were not any reusuable pods that worked with it, so I am pleased that we found these. I'm excited to be able to use some nice flavored coffee beans. I love that these cut down on trash, too! **Update 5/21/2017 - I am still using these and still like them. However, I did want to add something to my review. They don't come out of the pod holder very easily. I usually have to turn the holder upside down and tap it slightly to get it to come out. When doing that, that sometimes dislodges the little filter screen. I didn't realize that it had come out one time and I threw it in the trash with the coffee grounds. Now that I know that can happen, I make sure that it's still there. And if it has come dislodged, I make sure to find it before I throw out the grounds. It's easy to put back in - it just snaps in place. I didn't realize it was even missing until I made coffee the next time with that pod and my coffee was full of grounds! Just wanted to share that.",
First machine lasted 6 months. Was replaced under warranty and that machine lasted about 7 months. The ice is great but who wants a $500 machine that doesn’t even last 6 months. Highly disappointed!,
I will buy these again for sure,
Anyone with a Bunn coffee maker know you need real Bunn filter because they are taller. These are cheaper and just as good.,
My local appliance shop wanted $45.20 for this part. This works just as well as his part would have and both parts were Not OEM,
"It arrived today, well packaged, and I've used it once.  Very pleased with this compact, quiet dryer !",
"Love the convenience of doing laundry inside my apartment, but do have a problem attaching the drain pipe when ready to drain the tub.  Trial and error, I'm getting there.  I have done several loads and am pleased with this machine overall.",
"1.  The exhaust ""hose"" is ridiculous -- hard plastic, totally unusable; had to purchase a regular flexible kit at the hardware store.<br /><br />2.  UPDATE MARCH 2013 --  Initial review in parens (Major complaint is the lint filter.  First time cleaning was no problem, it popped right back into place.  Second time - no such luck, it refuses to pop back in place -- very frustrating.  The two loads I was able to dry came out just fine, but without that lint filter in place, it's now just a dust collector !)  Problem solved; just make sure you pay attention when replacing the filter sections, I had mine reversed, thus it would not ""connect""!  Thanks to a patient customer service rep for sending me photos, I finally noticed I had the thing reversed.  Dryer is back in working order and I am loving it !!!",
It does not fit the Haier WD-2800-25,
Fast and easy,
"I like the ice cube shapes,takes a while to make.I make them then store them in a zip lock and put them in the freezer.",
Works,
We have had this product for a while and the water taste is great. I think it is good to rinse all filters before the first use to get best results.,
I work in a bookstore and so these little gadgets are great for keeping an eye on humidity and temperature. Really clear and easy to read screens and when tested against other devices these have come out to be the most accurate. Great little devices and very discreet looking if you don’t want a big ugly reader on the wall. Highly recommend.,
This washes clothes just as good as any washing machine. Only issues I have is it has the smallest drain hose and takes forever to drain. The spin cycle is a joke. Don’t buy it for the spin cycle it doesn’t help drying at all. Just a waste of time. I live in a dry area so this wasn’t very important for me. The basket is small and worthless. I just removed the basket and the clothes still agitate just fine.  It is much better than having to make stops just to do laundry while in the RV.,
"Very easy to use! Made sealing cookies a breeze! Just an FYI, I used treat bags from Hobby Lobby on the level two setting and followed the directions on the side of the sealer.",
"It is definitely not a watercolor book.  The paper bucked completely.  The pages honestly appear to be photo copies of other pictures. I say that bc if you look at the seal pics you can see the tell tale line at the bottom of the page.  As someone who has made many photocopies of pages in my time so I could try out different colors & mediums that black line is a dead giveaway to me. It’s on other pages too.  The entire book just seems off. Nothing is sharp & clear. There is what looks like toner dust on all the pages making them look muddy.  There are no sharp lines & there is no clear definition.  At least there isn’t in my copy.  And the Coloring Book for Adult on the bottom of the front cover annoys me. Why is it singular & not plural?  They usually say coloring book for kids or coloring book for kids & adults or coloring book for adults- plural.  Lol  Plus it would work for kids if you can get over the grey scale nature of it.  Personally I’m not going to waste expensive pens & paints trying to paint over the grey & black mess.  I grew up in SW Florida minutes from the beaches & I was really excited about the sea life in this. I hope the printers & designers figure out how to clean up the mess bc some of the designs are really cute. They just aren’t worth my time to hand trace & transfer them, but I’m sure there are ppl that will be up to the challenge.  This is one is a hard no. Going back. I tried.",
Updated: after first book arrived very damaged the replacement arrived in perfect condition.,
"I bought it for the bag on the front so it paid for itself with that imo.  I haven’t started anything yet from it bc I’m still busy with other projects, but I’m really looking forward to starting some.",
Updated: after 1st arrived damaged the replacement arrived in perfect condition.,
"I love this book!  The patterns are lovely. I admit I’m not even following all of them to the letter. I am more of a free spirit.  I see the designs & take a look at the dimensions & just kind of wing it from there sometimes. lol. I’m 54 now & much less rigid in my arts & crafts than I was in my younger days when I would go to 6 stores trying to find the right threads or yarns. Lol. Those days are over!  Praise the Lord!  It’s a lot more fun now too.  As Bob Ross used to say- “Happy Mistakes!”  I make a lot of them sometimes, but I have found that the journey for me is a lot more interesting these days. Lol.",
Missing the sketch pad. Even worse I realized it’s identical to the Drawing Lab For Mixed Media Artists book I already bought.,
"Seriously one of only a few books they I have ordered from Amazon that has arrived in pristine condition. No bent edges, no buckled covers, no marred printing, no mysterious liquids, & no folded pages. The book is lovely, but my continued pet peeve with books like this is the manufacturer’s insistence of printing on both sides of the damned pages. So you can’t frame one picture without losing the image on the other side. It’s annoying.  I’d gladly pay more for a book with printed images on only one side & on watercolor grade papers.  So instead I guess I will be yanking these out, scanning them, & printing them on my own watercolor papers so that I can use the images on both sides.  The paper just does not hold up to a lot of media of you choose to use both sides in my experience. Ever.  I believe I now own all, but one of JD books & I will be buying it for myself for Mother’s Day. Lol. I love her art. I love her stamps. I love this book, but I’m knocking a star bc printing on both sides is stupid imo when the book is meant to be used to create more art.  Why limit the artists by making us choose which side to use for framing or which side to use if we choose to cut one side up & decoupage it onto something. We are then paying double for half a book!  It’s insane imo. Give the buyers options other than creating more work like I mentioned with the breaking the book apart & scanning it for personal use & printing it on better papers.",
"I love this book.  I was not blessed with artistic talent. Music yes. Drawing no. Lol. I have several of her books now & I fully intend to buy more for myself, my 5 kids, & my grandkids. We all love arts & crafts & these books are just awesome. My only issue is I haven’t brought myself to work in them yet! Lol. I use a separate sketch book!  I’m old school. Taught never to write in books or deface them. The only time I do is if the grammar or punctuation is wrong or the idiot author has now said the killer has blue eyes where previously they said green. Plot errors drive me crazy. Those times I will fix the mistakes. Lol.  So I’m hoping to bring myself to actually work & draw in the books. Lol.  I’m hoping she makes a lot more of them.",
"I really wanted to like this book bc I have her other two books, but someone got greedy. It’s half the size, but the same price.  I expected all jungle animals so finding papayas, figs, coconuts, & pineapples seems like another cop out. If I wanted a fruit book I’d have bought one!  These pages appear thinner too. You can see the images from the artwork on the other sides bleed through. I love the artist & her work, but I’m very disappointed with this book. It’s a measly 64 pages & 4 of the projects (the fruit) I will never paint in my lifetime.  There are so many animals she could have put in here like zebras, lions, rhinoceros, hippopotamus, alligators, crocodiles, & ostriches etc instead of the stupid fruit.  Poorly executed in book content & length, but lovely artwork on the good ones.  Not worth $23 ever imo.  I gave it 3 stars bc it’s not worth the price since it’s half the book of her previous ones & the content is lacking for art projects.",
Every page has a crease running the entire length of the book about an inch and a half from the edges.,
"This was my 6th copy!  All 5 of my kids had their own copy. While FaceTime reading with my granddaughter who lives in Tennessee while I live in Colorado she was complaining that her little sister wrote in her favorite book and she opened it to the front to show me.  I burst out laughing because it was actually my youngest son’s (now 17!) book from when he was a kid. He had scrawled Joseph on the front inside cover (nearly illegible as he was 4! and only a mom would recognize it!) and Sophia was irritated thinking her little sister was disrespecting her books.  Turns out my daughter had raised my storage container looking for her Nancy Drew books, but came across Joseph’s box!  I immediately bought Sophia her own!",
Can't wait to try these patterns!,
Her books are great and I love making the animals!,
"If you're looking for a comprehensive resource for NCLEX prep, look no further...this book is fantastic. Extensive topic coverage complete with rationales for every response. Prefer going online to take quizzes? No problem this book's got that, too. (Although the content online is a tad bit confusing to navigate, once you figure out how to get to the quizzes section, you won't forget.) I have several books for review and this one is my personal favorite. Some of my professors loan this text out to students, but I prefer 24/7 availability in my own home! :-) Happy studying, future nurses!<br /><br />UPDATE: I saw sooo many reviewers having trouble getting to the online content to take system-specific quizzes that I decided to post instructions here on how to get to the right place.<br /><br />1) Go to the Pearson Pegasus log-in page once you've set up online access, and log in.<br />2) Click on the book title on the left side of the website.<br />3) On the next page, on the left side near the top, you will see a menu bar that has the following options: ""Today's View, Course Content, Grades, Communicate"". Look just BELOW this menu bar and you will see the following options: ""View All Content, Course Calendar, Learning Objectives.""<br />4) Click on Learning Objectives.<br />5) On the left side, you will see the following options: ""Client Need, Topics Areas, Integrated Process.""<br />6) To take quizzes related to your system or topic of choice, click the plus sign for ""Topics Areas"".<br />7) Click on your system of choice.<br />8) On the right side, there are several options for that topic of study. Scroll down to the bottom-ish. You will see a heading called ""Self Study"" for that topic of study. Click on it.<br />9) A separate pop-up window will appear so that you may begin your quiz.<br /><br />I hope this is helpful. If you have any problems or questions, feel free to comment below. Note that the online quiz portion only works with Internet Explorer and certain versions of Firefox, but not with Chrome.",
Wonderful book but not crazy about using the word hate with the kids...too strong a word for the fun topic. We just read it and choose a different word to use in its place,
We love this book and the FOUND book also by Salina Yoon.,
I waned to like it but its just...  meh... not using it in my nursing. Have found better items. Will donate,
Sweet bookplates!,
"Cute book! Not quite as good as the original but still a fun one to read at Christmastime, my kids enjoyed it.",
"I bought two packs of postcards- thinking 60 would be plenty, but I have to tell you everyone that has seen them has asked if I have more?? They are all different book covers, so the variety is nice! Works as a cute gift too! Highly recommended.",
I bought these and the Nancy Drew postcards(also listed here on Amazon). My daughter wanted a ND party for her birthday and these work great as simple thank you cards! Super cute and sweet for anyone of any age! I am buying more just to have on hand. Highly recommended.,
"Only read and believe things you want to see come true. Focus your attention on stories that uplift and inspire a greater future. The author meant well, but has his own journey and beliefs to conquer to see clearly.",
I've been listening to Brian and Jenn's music for 13 years.  They've always been such an encouragement.  It meant a lot for someone in this position to write his story honestly.  For some reason I think that you need to be perfect for God to use you.  And I fear what people will think if I talk about hard things I'm going through.  Thank you Brian for taking the risk.,
I love the continuing story of My Travel Friends and the beautiful illustrations! There are 37 pages and the print is clear and easy to read! I love the discussion questions on the last page. The interactive app really brings the book to life with voices and songs! We will read the whole series. My family loves these books!,
My kids and I love this book. It is colorful and has a good story. There are 39 pages and the print is clear and easy to read! This is the 1st book in a series of 7. The interactive app really brings the book to life with voices and songs! My kids are learning to do the right thing and make good choices! We will read the whole series. Love it!,
A well thought out book that teaches my kids manners and how to be polite!!! Could it get any better?!? There are 30 beautiful designed and illustrated pages in the continuing story of My Travel Friends. This series just gets better and better! The interactive app really brings the book to life with voices and songs!,
The colorful pages and decorative text is fun to look at and beautifully created. The My Travel Friends Series are wonderful books that my whole family love. There are 37 gorgeous pages and beautiful illustrations! Recycling and keeping our water clean is a story I love to read to my kids. The interactive app really brings the book to life with voices and songs!,
yep.  need this.,
challenging and good,
"The bible talks about praying for people who hurt you.  Jason's story is so real, so hard.  But he takes the high road.  Like Christ, he forgave.  He is living the happy life now because he chose to forgive.<br /><br />Legitimate read.",
Ordered this book for my father in law for Christmas & the shipping was FAST. Item arrived as expected. Can't wait to give it to him.,
Got this book for my son who was graduating 5th grade & had his teacher's all sign it.,
"This is such a sweet and thoughtful story. No child should ever feel they aren’t special, unique and loved. Simeon is for anyone, really. There is a beautiful message in this book and the illustrations are so organic and imperfect that any child can relate to them. Just buy it. It’s worth it",
I love it.,
I love it.,
Love it.,
"Much too big for the &#34;pocket&#34; address book I was looking for. Has more categories than I needed for each person, therefore leaving little squinty areas for name phone and address. Although double the size of the one I'm trying to replace...less space for the basic's. Nicely made but not what I needed.",
"This is a great start to a world filled with religion, politics and war. Justir is presented in a way that I feel allowed me to really understand him. The environment is fleshed out and I could imagine the surroundings while reading. Also, the era of the book isn't mentioned, but I feel as if I know that too.<br /><br />Personally, I felt connected to the story early on. If I had to make criticism I would point to the story sometimes moving too fast for me. As if I was barely keeping up with Justir. Also, there are a few typos that you will notice, but they don't detract from the story telling.<br /><br />I would recommend to anyone who likes to read fantasy/has an interest in how multiple facets like war, politics and religion play together.",
Simple message and little writing but so cute and a fun twist at the end! Love it for my littles!,
My little one just likes doctors so I thought this book would be fun but it’s not what I expected. It’s more about helping if your little one is scared of going to the doctor. There is only one picture of the doctor in the book.,
Cute!,
Well I was trying to help mother in law out with her no salt low sodium diet. I am not sure she got any help from this book. I believe she is looking for something simpler. I am not saying it didn't help her at all and it's not a great book but I got this as a gift to help her. I should have done some reading through it first!,
The imagery in this book is so good that I actually slept with my light on a few times. I chose this book because I'm a fan of horror in general and the exorcist is one of my all time favorites. I didn't have high expectations of this book because the subjects been over done but this book reeled me in from the very beginning.,
I've seen all the Hell Raiser movies but some how I never that movies where novels! I just so happened to come across this book and man oh man! It didn't disappoint. This is one of the few novels I've actually finished and I can't wait to start the next one.,
This is an amazing book that makes me look at my house differently now!,
This is an adorable story with an African American Cajun Hero. Her concoctions might be vile but her heart is pure. My kids and I absolutely love this book. We can't stop saying Gitchey Gone lol! Great for teaching repetition and helping kids deal with scary themes. Highly recommend.,
Nothing new for a collector of Antique Jewellery!  Pretty much all the pieces on this book have been in other Jewelry books!!!  And the funny/annoying thing no prices of the auction prices are listed either.<br /><br />Sad to say I was really disappointed with it.  Buy a used copy if you really want it!,
Loved this book....as a financial advisor  I loved the link to jewels  as currency  and the history. I  wish it had  pictures of shiny objects!,
I laughed and cried. Sad that the industry has a lot of truth in this book.  However made me happy it is not just me. Well written...thank you!,
"My first read with this author.  The story line was interesting, great character development.  The chapters are short and weave in and out the story as it touches the lives of characters.  While getting close to the end, I put the book down for a week because I didn't want the book to end - it kept me hooked.  I don't do that with books, leave it alone to take small bites but this one I did.  The author herself is interesting; she is a journalist and served as a BBC news presenter.  Story telling is her way to decompress from the crimes she reported and reports on which I find truly remarkable and commendable.  She's a great author, contributor and story telling artist. Thanks Teresa Driscoll.",
"This is one of a series of books, very interesting and uses one's imagination well.  Love the old photo's that are weaved into the story.",
Interesting read and the old photographs add to the story.  Loved it so much I purchased the next two stories so I could continue the journey,
Just what I was looking for.  Thank you.,
"Purchased this item as a gift for my friend, was well received.  The product is of good quality and lots of pictures!",
Minimal use marks and still in great usable condition.,
Great condition and even had a note of encouragement!,
